timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778599265.5321677,-52487.57332415263,-69896.96710073556,19872.667774280046,-29354.210716987935,-34148.771661373576,-19415.485193191194,6141.9017484070955,-15060.65011747481,0.5
1778599265.5321724,-55510.35618905499,-70056.71501835765,20029.241744189472,-29115.13645829397,-33363.80074784765,-19833.30635229425,6314.613677813253,-13203.443670683346,0.5
1778599266.0117447,-56832.2160043974,-70018.06885219441,20422.38657741387,-28631.355301303305,-32569.4868051394,-19879.440352850004,6456.793124293462,-13552.06382895277,0.5
1778599266.0117738,-54351.23942509168,-69817.10431779675,20488.078354368015,-28624.47096401107,-32955.32261792691,-19455.673629721838,6342.7098205935745,-15761.198492193043,0.5
1778599266.011794,-51751.82095191729,-69752.68659027656,20142.498033344513,-29095.869254573496,-33912.6031294588,-19186.55862647994,6168.232103375448,-16410.29315117516,0.5
1778599266.0118072,-52356.59210164453,-69875.71059175857,19878.635690049614,-29405.127990857127,-34166.67540868228,-19384.84095154297,6150.484818277934,-14880.13742925375,0.5
1778599266.0118124,-55403.24662962516,-70042.85693679535,20027.52065986641,-29160.130519882503,-33390.73459991629,-19808.339453737673,6323.375561639734,-12883.478448805625,0.5
1778599266.011818,-56750.40861969097,-70015.23018064859,20413.13295520937,-28669.62148781079,-32599.907529343076,-19856.842739205687,6460.9281970176935,-13186.99278676424,0.5
1778599266.0118237,-54311.81094787252,-69821.17233528761,20479.316470541533,-28650.600153279323,-32981.3847519618,-19439.490966736194,6352.723402109552,-15432.136110322013,0.5
1778599266.011829,-51707.34098045123,-69756.95577346752,20133.669094284665,-29121.126725807993,-33942.0627286509,-19169.526597204997,6172.74715575542,-16246.007829428654,0.5
1778599266.0118346,-52313.028551701136,-69888.11580993126,19871.349021357182,-29422.02590966534,-34192.469321783705,-19368.099494945945,6162.107725394693,-14743.34475318727,0.5
1778599266.0118544,-55336.90665208181,-70053.42931192271,20016.948284739054,-29182.571671315633,-33423.05522239867,-19786.099468004642,6324.783721540418,-12913.139213697817,0.5
1778599266.0118597,-56725.419369389936,-70024.86378250882,20403.991091727148,-28698.43288641368,-32629.233018068437,-19842.895250665577,6468.192513965669,-13365.426762750956,0.5
1778599266.011865,-54318.20354678673,-69827.8331551353,20483.71976419923,-28676.416418125205,-32992.605327678364,-19425.87875436291,6363.452239448099,-15560.233957795377,0.5
1778599266.01187,-51705.597544383716,-69760.88968049166,20142.922716489164,-29142.67380746291,-33952.00925493351,-19157.27784124349,6183.923027983074,-16311.9007720829,0.5
1778599266.011875,-52290.67680724583,-69890.12746693224,19878.36746911615,-29449.675017556554,-34212.00474643764,-19354.39787559484,6167.9638824419835,-14819.631257013234,0.5
1778599266.0118804,-55339.99119281664,-70061.92297481572,20024.05613947584,-29208.49969488379,-33437.82972548363,-19776.041182999754,6341.480474648532,-12933.099321496407,0.5
1778599266.0118852,-56776.51545721477,-70034.65384658026,20420.173754712792,-28715.219046499617,-32622.12516333165,-19839.654247719558,6483.324644961911,-13307.647503333987,0.5
1778599266.0118904,-54385.39289061939,-69833.37638776022,20503.612816764453,-28684.016011240008,-32974.32160071392,-19426.258734018655,6378.830239633351,-15505.606294346608,0.5
1778599266.011897,-51757.07361186429,-69762.72252353698,20166.973193523074,-29147.99352264327,-33931.40094654571,-19152.583974907873,6198.384606645657,-16353.586775492047,0.5
1778599266.011902,-52295.415377070356,-69887.91464423116,19899.668681582058,-29461.11911071767,-34203.66754575581,-19342.417340566797,6182.60427506021,-14891.447411948135,0.5
1778599266.0119069,-55350.563567944,-70056.67031486874,20043.39039842968,-29228.102174771095,-33434.90164695998,-19767.078133473176,6358.691317879119,-13046.310907162537,0.5
1778599266.0119114,-56808.34434131913,-70032.28456166798,20433.4730426637,-28737.771956655022,-32615.531398717332,-19832.792262171777,6501.921296348727,-13294.39291887199,0.5
1778599266.0119164,-54445.96611809327,-69834.5833819608,20516.845049481995,-28701.450371915147,-32957.35662667234,-19418.592085670483,6399.192678832135,-15533.613030149107,0.5
1778599266.0119212,-51781.1240888982,-69760.50970083592,20174.997469782527,-29172.20046188837,-33922.549655741415,-19141.989248036058,6214.65667660912,-16413.53415412118,0.5
1778599266.011926,-52321.16458668287,-69885.45595234107,19913.45970791098,-29489.572881409276,-34194.68214448478,-19334.147195118334,6206.8782695386735,-15104.995978474139,0.5
1778599266.0119307,-55352.35170750043,-70051.39530317728,20057.270831736427,-29261.294515287223,-33428.19612362339,-19758.606822324615,6372.102364552304,-13204.740071861754,0.5
1778599266.0119357,-56843.995373725345,-70025.04259646447,20451.399141716855,-28773.333582083415,-32598.655831653577,-19832.07700634921,6521.635534958307,-13532.908383954571,0.5
1778599266.0119405,-54497.79981348513,-69827.69904466857,20540.984933493728,-28726.39491872727,-32923.62784428929,-19424.358835739953,6424.539557044453,-15526.281657967766,0.5
1778599266.0119452,-51829.5826708773,-69754.83235774426,20203.965330596606,-29203.559959359165,-33888.06091404687,-19149.007695795026,6236.449627453045,-16827.890792833663,0.5
1778599266.01195,-52310.1451766664,-69865.51819628694,19940.23709776844,-29538.165573855113,-34171.6151442069,-19332.649628239826,6220.222260978492,-15534.752969116327,0.5
1778599266.0119548,-55311.93975352523,-70025.26611390902,20080.226073292026,-29313.88816999056,-33412.840475182595,-19752.437740854948,6395.906972397205,-13363.16923656097,0.5
1778599266.01196,-56829.310277618206,-70002.37792758679,20470.86751113743,-28818.12647797185,-32580.68502911151,-19831.07117784872,6550.648099261296,-13525.509956539865,0.5
1778599266.0119655,-54501.2643338757,-69804.43087869059,20561.526186648152,-28772.372457071837,-32906.26053884751,-19422.481289205705,6450.13230444578,-15679.748735397905,0.5
1778599266.0119703,-51798.20082166205,-69728.45729928701,20221.690263949666,-29238.4510324539,-33874.98514354052,-19138.949410790137,6260.388345764679,-16491.31822482565,0.5
1778599266.0119753,-52244.20753052325,-69852.37537054722,19942.51697570288,-29562.99836194496,-34178.119501843394,-19319.327988544464,6234.080342540782,-15072.31772808048,0.5
1778599266.01198,-55262.58710176792,-70023.14269818577,20073.855826122264,-29345.404129672545,-33434.09698415959,-19745.016961695786,6407.306362069412,-13197.967493291795,0.5
1778599266.0119848,-56816.27921060076,-70004.79191598797,20466.128941312905,-28851.922315588276,-32596.420657208047,-19826.891401635577,6561.555750555486,-13484.628615931108,0.5
1778599266.0119896,-54535.104874981036,-69809.30355898185,20562.59907038201,-28788.912747968763,-32903.42186730169,-19421.497812449674,6469.913598288727,-15357.23541465228,0.5
1778599266.0119946,-51832.35428718976,-69735.22987785695,20224.171307584205,-29243.79309937872,-33869.486614404515,-19133.58499212086,6276.101622116759,-16346.545975988625,0.5
1778599266.0119996,-52273.24244657069,-69861.13725437371,19946.94262110503,-29566.060550935337,-34173.29152504105,-19313.717700686182,6257.549674218854,-14963.688250027688,0.5
1778599266.0120044,-55300.16038419728,-70037.91720127073,20080.7401634145,-29340.062062747726,-33421.84822819808,-19740.18898489344,6426.193586134146,-13062.82884631501,0.5
1778599266.0120096,-56892.699824893454,-70021.62277956281,20475.896653639873,-28829.41410892178,-32573.331305185715,-19830.02064585932,6579.928884497748,-12982.653138953823,0.5
1778599266.0120144,-54611.81606195165,-69827.31906501282,20566.39886693941,-28762.69415172269,-32886.81452117139,-19424.761167140146,6471.969958778615,-15171.939453117784,0.5
1778599266.0120194,-51895.43091004264,-69749.89262221965,20228.75341519754,-29222.4471834239,-33860.63532360021,-19139.35174219033,6286.048148399371,-16275.847408276488,0.5
1778599266.0120242,-52282.764289708655,-69870.81555972285,19948.99898159492,-29561.880774722194,-34178.58888847696,-19314.72352918667,6259.583682964288,-15160.405952978845,0.5
1778599266.0120287,-55292.11375619337,-70041.69464608368,20078.54969245788,-29345.51588839482,-33434.67812951543,-19743.027656439266,6433.793179248951,-13018.035950426574,0.5
1778599266.0120337,-56923.14290084159,-70031.85987852333,20473.19209256078,-28838.488917170635,-32573.890098797096,-19836.256782562352,6588.042567735025,-13210.976208564784,0.5
1778599266.0120385,-54670.31057719119,-69833.82342264932,20577.865311844984,-28772.730084983123,-32863.0546168154,-19435.13237656741,6490.812479354439,-15418.680360159919,0.5
1778599266.0120432,-51902.29289559041,-69750.22789838647,20244.086711893884,-29230.69497712791,-33840.16112567915,-19138.010637523013,6300.397968339678,-16314.605333161991,0.5
1778599266.0120485,-52242.128818288904,-69869.85443471128,19957.157368321106,-29583.56196684384,-34180.175862333286,-19307.213343049687,6267.004462123449,-15310.810841418606,0.5
1778599266.0120533,-55251.12065686234,-70038.83362279339,20086.6410239507,-29374.796673631274,-33435.72866150483,-19734.80221447971,6445.058458454426,-13165.244539409226,0.5
1778599266.012058,-56959.03980243681,-70030.67523606721,20492.615758492444,-28858.538431947047,-32550.309008396747,-19840.794186686777,6615.35639945941,-13317.594029616599,0.5
1778599266.0120628,-54749.81573221871,-69833.35403601576,20611.4152802724,-28774.205300117173,-32812.60672957978,-19437.568716713038,6524.429503015221,-15572.192141078967,0.5
1778599266.0120676,-51942.011945487495,-69742.40478782711,20272.67459305222,-29249.73866340383,-33799.79387519287,-19139.821128823893,6316.982962725516,-16729.699579441498,0.5
1778599266.012072,-52234.84214959647,-69849.71551295705,19980.42553429908,-29613.13332475821,-34153.733748642655,-19305.06757558198,6287.836287955795,-15423.150709050979,0.5
1778599266.012077,-55263.1458953793,-70022.91918074121,20109.73037597303,-29401.39524953309,-33410.29237631469,-19735.271601113272,6468.080755243392,-13299.53382009671,0.5
1778599266.012082,-57014.29331473033,-70015.29723588195,20521.337750117513,-28876.017496111097,-32506.901920664543,-19844.124596610618,6645.486550985164,-13365.203245306402,0.5
1778599266.0120869,-54800.80006132127,-69813.46098345054,20639.84669921955,-28784.37534384434,-32766.696246468575,-19442.37434177093,6545.10486663638,-15500.465393121887,0.5
1778599266.0120916,-51963.983710287066,-69722.17645909506,20294.244026451594,-29248.64342792552,-33765.86392710971,-19140.73755034656,6346.241396217513,-16322.741368143723,0.5
1778599266.0120966,-52249.16961779233,-69842.1829750756,19992.026089671384,-29601.689231597094,-34130.28676870904,-19307.705081427703,6310.903288233672,-15058.07966686245,0.5
1778599266.0121017,-55275.61816878536,-70023.90265749725,20111.02677715144,-29389.839397649695,-33396.4342947524,-19739.13845290404,6483.9951972955705,-12917.095472466406,0.5
1778599266.012107,-57054.3699925387,-70026.27194240951,20516.241552381704,-28862.159414548805,-32495.167254825505,-19852.573556014726,6654.8072284230275,-13081.5372564241,0.5
1778599266.012112,-54850.75621017888,-69826.73791965698,20636.38217882898,-28773.13241638332,-32757.82260391982,-19448.342257540495,6557.688898764718,-15346.461873824821,0.5
1778599266.0121167,-51982.17803027368,-69736.30276159082,20293.282901440016,-29247.727006402853,-33765.14867128714,-19138.3682654343,6350.376468941745,-16346.635382966446,0.5
1778599266.0121214,-52225.789693092076,-69859.08089388382,19984.314737834306,-29614.921464314637,-34140.74738511412,-19299.47963946815,6308.355189365768,-15053.430504015745,0.5
1778599266.0121262,-55259.52491277754,-70037.85014603737,20103.293073569905,-29420.193066620002,-33402.89394889998,-19733.52816504576,6484.151659506758,-13264.799209213163,0.5
1778599266.0121307,-57041.405980754615,-70029.46824186662,20513.4922878137,-28893.362449808414,-32491.658030946022,-19849.77958795781,6658.450562769242,-12971.298452770527,0.5
1778599266.0121355,-54871.87860868915,-69837.3326465288,20631.285981093166,-28810.817457534966,-32751.407653261147,-19455.383057043917,6560.639329032819,-15142.189281247769,0.5
1778599266.0121405,-51963.58137888687,-69745.9587151955,20281.101200711873,-29315.005757213326,-33776.436302237074,-19140.424625924188,6338.798265313896,-16456.471855219825,0.5
1778599266.0121453,-52185.645960050344,-69862.97009741903,19967.863853915198,-29707.569445081885,-34167.70358892722,-19300.329005757452,6307.975209710027,-15192.86068592795,0.5
1778599266.01215,-55246.9408806492,-70044.60037286287,20088.093887340296,-29512.66223343161,-33429.17960037942,-19738.892583715035,6492.645322399774,-13123.625591233444,0.5
1778599266.0121548,-57067.53517002287,-70045.06975949643,20496.281444583114,-28990.30196551108,-32512.24398758936,-19859.055561906764,6661.803324437538,-13084.688852392299,0.5
1778599266.0121596,-54892.77748975486,-69847.50269025596,20622.635855988963,-28905.544150536556,-32760.48246151,-19458.601708245482,6563.656814534284,-15231.082168946527,0.5
1778599266.0121644,-51972.11974526879,-69753.89358447715,20281.39177338979,-29386.374877259124,-33776.1233778147,-19141.36339919131,6360.702974880097,-16124.23552563614,0.5
1778599266.0121691,-52196.26303866661,-69878.50455981548,19967.685039959557,-29762.286515508476,-34168.17297556078,-19302.899456369814,6326.236584930013,-14746.138721244184,0.5
1778599266.012174,-55260.57544476694,-70064.98516380611,20077.25329127947,-29575.76120802894,-33441.11543191856,-19742.938249461444,6499.127328291814,-13016.605438781435,0.5
1778599266.0121787,-57120.262935192935,-70065.70041962867,20488.972424146228,-29063.906260002408,-32520.20120861545,-19866.5880997882,6671.571036764507,-13256.417305042423,0.5
1778599266.0121834,-54970.49450522596,-69865.11586488674,20621.406510043922,-28985.853968364474,-32756.235630063493,-19470.537539784615,6581.940541498726,-15486.674366792962,0.5
1778599266.0121882,-52064.61126382485,-69759.92855548007,20290.310119427457,-29474.39604692412,-33758.197278761545,-19154.93090807568,6386.698053681619,-16456.427151730913,0.5
1778599266.012193,-52252.81295213854,-69872.82721672383,19976.268109830395,-29864.411635924775,-34152.32558874197,-19311.929561129757,6350.756448597485,-15157.321412244013,0.5
1778599266.0121975,-55307.156480211794,-70054.50219565656,20086.015175105953,-29672.72307547606,-33422.09409738709,-19753.33181063316,6532.476131019132,-12965.554054445513,0.5
1778599266.0122025,-57185.910008658175,-70059.57604164792,20488.324223557025,-29155.81663320263,-32503.258586318327,-19884.46949535245,6700.807118512049,-13115.422501018347,0.5
1778599266.0122073,-55083.57198042536,-69860.28788808441,20624.02166414519,-29056.3066668876,-32726.91014133813,-19495.884417996935,6617.680980882762,-15062.751181453608,0.5
1778599266.012212,-52147.84916017642,-69765.65060206063,20282.330546656915,-29526.252094060434,-33741.45582216452,-19175.494512974565,6405.138242857247,-15973.271843584997,0.5
1778599266.0122168,-52312.35799936748,-69885.16537966316,19961.38184802316,-29915.463020260697,-34150.604504418916,-19330.392102049842,6365.396841215711,-14861.898405778218,0.5
1778599266.0122213,-55355.90563486882,-70072.76357087656,20062.791712616887,-29725.249674946033,-33434.45461207088,-19774.498912632338,6541.260366590067,-12806.968427535108,0.5
1778599266.0122263,-57297.60167570134,-70080.29610875799,20472.029801849105,-29203.559959359165,-32501.04576361725,-19916.164268990073,6727.785674069604,-13009.274066600094,0.5
1778599266.0122309,-55225.863185627844,-69879.80096099389,20616.109146608014,-29101.859522087518,-32708.89463530715,-19526.64041836744,6639.943318360248,-15190.379642293412,0.5
